Title,Author,Average Ratings,Total Ratings
Norwegian Wood,Haruki Murakami, 4.03 avg rating,"327,635 ratings"
"Heidi (Heidi, #1-2)",Johanna Spyri, 3.99 avg rating,"169,449 ratings"
"Are You There God? It's Me, Margaret",Judy Blume, 3.91 avg rating,"182,847 ratings"
Kafka on the Shore,Haruki Murakami, 4.14 avg rating,"290,021 ratings"
Sophie's World,Jostein Gaarder, 3.93 avg rating,"191,254 ratings"
Walden,Henry David Thoreau, 3.79 avg rating,"150,292 ratings"
Blood River: A Journey to Africa's Broken Heart,Tim Butcher, 4.06 avg rating,"7,281 ratings"
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare, 4.28 avg rating,"407,503 ratings"
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss, 4.57 avg rating,"408,508 ratings"
زندگی مه آلود پریا,سید مرتضی مصطفوی, 3.93 avg rating,942 ratings
The Awakening,Kate Chopin, 3.65 avg rating,"167,737 ratings"
Sophie's Choice,William Styron, 4.19 avg rating,"80,600 ratings"
Fangirl,Rainbow Rowell, 4.06 avg rating,"550,006 ratings"
The Prince of Tides,Pat Conroy, 4.24 avg rating,"189,589 ratings"
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg, 4.28 avg rating,"260,799 ratings"
